year,bias_category,incidents,offenses,victims,source_table,source_url
2013,Total,5928,6933,7242,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Single-Bias Incidents,5922,6921,7230,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Race,2871,3407,3563,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Religion,1031,1163,1223,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Sexual Orientation,1233,1402,1461,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Ethnicity,655,794,821,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Disability,83,92,99,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Gender,18,30,30,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Gender Identity,31,33,33,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
2013,Multiple-Bias Incidents,6,12,12,FBI Table 1,https://ucr.fbi.gov/hate-crime/2013/tables/1tabledatadecpdf
